"symbol","name","price"
"PPHG.BA","Koninklijke Philips N.V.","9,155.00"
"IIRSA.BA","IRSA Inversiones y Representaciones Sociedad Anónima","2,230.00"
"BBPAT.BA","Banco Patagonia S.A.","2,385.00"
"LLAR.BA","Lithium Argentina AG","10,240.00"
"TTRIP.BA","Tripadvisor, Inc.","7,100.00"
"PPAGS.BA","PagSeguro Digital Ltd.","5,155.00"
"SSUPV.BA","Grupo Supervielle S.A.","3,102.50"
"CCVH.BA","Cablevisión Holding S.A.","7,400.00"
"MMOLA.BA","Molinos Agro S.A.","26,650.00"
"MMETR.BA","MetroGAS S.A.","2,194.00"
"RREGE.BA","García Reguera Sociedad Anónima Comercial, Industrial, Financiera e Inmobiliaria","6,050.00"
"DDD.BA","DuPont de Nemours, Inc.","14,670.00"
"MMUX.BA","McEwen Inc.","19,030.00"
"CCRES.BA","Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria","1,743.00"
"SSAMI.BA","S.A. San Miguel A.G.I.C.I. y F.","613.00"
"ZZM.BA","Zoom Communications, Inc.","2,872.50"
"CCTIO.BA","Consultatio S.A.","2,060.00"
"CCAPX.BA","Capex S.A.","4,600.00"
"CCGPA2.BA","Camuzzi Gas Pampeana S.A.","2,415.00"
"AA3.BA","A3 Mercados S.A.","3,025.00"
"GGBAN.BA","Naturgy BAN, S.A.","2,220.00"
"BBSBR.BA","Banco Santander (Brasil) S.A.","9,715.00"
"BBHIP.BA","Banco Hipotecario S.A.","450.00"
"PPATA.BA","Sociedad Anónima Importadora y Exportadora de la Patagonia","1,295.00"
"HHARG.BA","Holcim (Argentina) S.A.","1,740.00"
"GGPRK.BA","GeoPark Limited","12,020.00"
"RRAGH.BA","RAGHSA Sociedad Anonima","1,550.00"
"DDOCU.BA","DocuSign, Inc.","3,017.50"
"MMOLI.BA","Molinos Rio de la Plata S.A.","2,970.00"
"WWBO.BA","Weibo Corporation","2,454.00"
"VVALO.BA","Banco de Valores S.A.","562.00"
"OORLY.BA","OREILLY AUTOMOTIVE INC NEW CEDE","648.00"
"EETSY.BA","Etsy, Inc.","4,272.50"
"AAVY.BA","Avery Dennison Corporation","15,910.00"
"IINVJ.BA","Inversora Juramento S.A.","530.00"
"XXROX.BA","Xerox Holdings Corporation","2,840.00"
"LLEDE.BA","Ledesma Sociedad Anónima Agrícola Industrial","822.50"
"DDGCU2.BA","Distribuidora de Gas Cuyana S.A.","1,695.00"
"AAUSO.BA","Autopistas Del Sol SA","3,805.00"
"DDGCE.BA","Distribuidora de Gas del Centro S.A.","2,095.00"
"CCOME.BA","Sociedad Comercial del Plata S.A.","47.67"
"GGCLA.BA","Grupo Clarín S.A.","2,935.00"
"CCECO2.BA","Central Costanera S.A.","420.00"
"HHAVA.BA","Havanna Holding S.A.","5,650.00"
"RRICH.BA","Laboratorios Richmond S.A.C.I.F.","1,930.00"
"SSDA.BA","SunCar Technology Group Inc.","1,523.00"
"IINAG.BA","Insumos Agroquímicos S.A.","7,000.00"
"OOEST.BA","Grupo Concesionario del Oeste S.A.","870.00"
"FFERR.BA","Ferrum S.A. de Cerámica y Metalurgia","24.75"
"GGRIM.BA","Grimoldi S.A.","2,570.00"
"BBOLT.BA","Boldt S.A.","41.10"
"RRIGO.BA","Rigolleau S.A.","534.00"
"GGAMI.BA","B-Gaming S.A.","213.00"
"CCADO.BA","Carlos Casado S.A.","579.00"
"SSEMI.BA","Molinos Juan Semino S.A.","19.30"
"MMORI.BA","Morixe Hermanos S.A.C.I.","32.20"
"AAGRO.BA","Agrometal S.A.I.","48.80"
"BBIOX.BA","Bioceres Crop Solutions Corp.","880.50"
"IINTR.BA","Compañía Introductora de Buenos Aires S.A.","345.00"
"FFIPL.BA","Fiplasto S.A.","228.50"
"CCARC.BA","Carboclor S.A.","27.00"
"BBNGD.BA","Bunge Global SA","25.39"
"GGCDI.BA","GCDI S.A.","16.90"
"LLONG.BA","Longvie S.A.","20.15"
"RROSE.BA","Instituto Rosenbusch S.A.","223.50"
"GGARO.BA","Garovaglio y Zorraquín S.A.","200.00"
"DDOME.BA","DOMEC Compañía de Artefactos Domésticos S.A.I.C.y F.","76.00"
"PPOLL.BA","Polledo Sociedad Anonima, Industrial, Constructora y Financiera","290.00"
"AA3D.BA","A3 MERCADOS S.A","2.18"
"AAALC.BA","AMERICAN AIRLINES GROUP INC CED","6.93"
"AAALD.BA","American Airlines Group Inc.","7.20"
"AAAPLC.BA","APPLE INC CEDEAR(REPR 1/10 SHR)","12.93"
"AAAPLD.BA","Apple Inc.","13.39"
"AABBVD.BA","AbbVie Inc.","23.75"
"AABEVC.BA","AMBEV SA CEDEAR EACH REPR 3 ADR","9.33"
"AABEVD.BA","Ambev S.A.","9.70"
"AABNB.BA","Airbnb, Inc.","11,960.00"
"AABNBD.BA","Airbnb, Inc.","8.42"
"AABTD.BA","Abbott Laboratories","28.32"
"AACN.BA","ACCENTURE PLC CEDEAR EACH 75 RE","4,422.50"
"AACND.BA","ACCENTURE PLC CEDEAR EACH 75 RE","3.38"
"AACWI.BA","iShares Trust - iShares MSCI ACWI ETF","8,265.00"
"AACWID.BA","iShares Trust - iShares MSCI ACWI ETF","5.90"
"AADBEC.BA","ADOBE INC CEDEAR EACH 22 REP 1","6.01"
"AADBED.BA","Adobe Inc.","6.27"
"AADGOD.BA","Adecoagro S.A.","8.81"
"AAEMD.BA","Agnico Eagle Mines Limited","36.22"
"AAFCIO.BA","--","143,820.00"
"AAI.BA","C3.ai, Inc.","3,192.50"
"AAID.BA","C3.ai, Inc.","2.28"
"AAIGD.BA","American International Group, Inc.","16.08"
"AAKO-B.BA","EMBOTELLADORA ANDINA SA CED EAC","47,400.00"
"AALAB.BA","Astera Labs, Inc.","4,372.50"
"AALDAD.BA","Banco De Valores S.A. - Allaria Argencons Dqpr I L27260 Fund","0.85"
"AALUAC.BA","ALUAR ALUMINIO ARGENTINA SA","0.66"
"AALUAD.BA","Aluar Aluminio Argentino S.A.I.C.","0.70"
"AAMATD.BA","Applied Materials, Inc.","74.90"
"AAMDC.BA","ADVANCED MICRO DEVICES INC CEDE","20.84"
"AAMDD.BA","Advanced Micro Devices, Inc.","21.40"
"AAMGND.BA","Amgen Inc.","12.41"
"AAMXD.BA","América Móvil, S.A.B. de C.V.","26.34"
"AAMZNC.BA","AMAZON COM INC CEDEAR EACH 144","1.48"
"AAMZND.BA","Amazon.com, Inc.","1.44"
"AAN29.BA","--","137,990.00"
"AAN29C.BA","--","93.00"
"AAN29D.BA","--","95.85"
"AANFD.BA","ABERCROMBIE & FITCH CO CEDEAR E","99.50"
"AARCOD.BA","Arcos Dorados Holdings Inc.","17.36"
"AARKK.BA","ARK ETF Trust - ARK Innovation ETF","10,370.00"
"AARKKC.BA","ARK ETF TR CEDEAR EACH 10 REPR","7.00"
"AARKKD.BA","ARK ETF TRUST CEDEAR EACH 10 RE","7.32"
"AARMD.BA","ARM HOLDINGS PLC CEDEAR EACH 27","4.80"
"AASML.BA","ASML Holding N.V.","14,220.00"
"AASMLC.BA","ASML HOLDING NV CEDEAR EACH 146","9.72"
"AASMLD.BA","ASML Holding N.V.","10.04"
"AASTS.BA","AST SpaceMobile, Inc.","8,045.00"
"AASTSD.BA","AST SPACEMOBILE INC CEDEAR EACH","5.70"
